LAcode,LAname,Nocarvan,Unemp,LLTI,Sochous,Ethnic,Troutine,random
E06000014,York,26.10111069,6.043714673,15.33695866,13.97812141,9.814643703,23.10450033,0
E07000163,Craven,17.19887727,4.099464812,17.93390965,8.99808811,4.632821383,22.35620132,0
E07000164,Hambleton,13.34312774,3.962953068,16.85550819,12.91549702,3.6717523,22.27415524,0
E07000165,Harrogate,16.42424333,3.971172412,15.59457525,9.138144084,8.330957946,20.62295024,0
E07000166,Richmondshire,13.3221161,4.34315586,15.24680073,10.80318701,6.637159627,21.77118907,1
E07000167,Ryedale,14.64659918,4.478026337,17.75617862,12.85739655,3.7661108,26.73957585,0
E07000168,Scarborough,28.77313644,7.660048099,22.40309579,12.4082128,4.750305626,30.56440744,0
E07000169,Selby,14.91651958,5.445878491,16.3908495,12.04027894,4.509341035,27.10937879,0
E08000016,Barnsley,26.9104771,8.715786066,23.9026732,20.87874998,3.917031757,35.2237317,0
E08000017,Doncaster,27.75146853,9.597839675,21.67148365,17.7117016,8.155369343,35.45366878,0
E08000018,Rotherham,26.55388622,8.918763235,21.99471393,21.50554514,8.100901741,33.01305072,0
E08000019,Sheffield,33.03990815,9.751479558,18.76522079,24.7542709,19.15349793,25.32846396,0
E08000032,Bradford,30.50688423,10.33357733,17.32733342,14.80862636,36.1418848,26.89498303,0
E08000033,Calderdale,27.32873698,8.015036126,17.9564923,15.22663928,13.29271045,27.25085033,0
E08000034,Kirklees,26.43711281,8.314953253,17.74448584,15.28598185,23.33202354,27.38530049,1
E08000035,Leeds,32.06122347,9.033661792,16.72395324,21.95192704,18.86544642,24.14321858,0
E08000036,Wakefield,26.862706,7.959931197,22.06655475,23.59380119,7.214036466,35.4394453,1
E06000015,Derby,28.93586647,9.256801866,18.67562874,19.80033441,24.6695504,28.7013849,0
E06000016,Leicester,36.85279188,12.22868934,17.3226938,25.39695431,54.93892475,31.70927045,0
E06000018,Nottingham,43.67919068,13.59350707,18.11763936,29.7198944,34.57537294,27.3949464,0
E06000017,Rutland,12.39168111,3.900112233,15.48877412,11.23183576,5.694559662,20.82655626,0
E07000032,Amber Valley,19.22009278,6.291970803,20.28387118,12.32793368,3.532855309,31.27719252,0
E07000033,Bolsover,23.35904393,7.948284327,24.65794954,18.18542118,3.701262753,37.4045938,0
E07000034,Chesterfield,27.09205915,7.867335892,23.05950592,23.14727755,5.13739546,32.40848591,1
E07000035,Derbyshire Dales,14.82240437,4.337100568,18.54153777,12.15196461,3.207435739,23.54457655,0
E07000036,Erewash,22.39176867,7.229291633,19.30389629,13.01035078,4.82508186,30.8501495,0
E07000037,High Peak,19.5963642,6.214305429,18.1138054,12.69706773,4.137877921,25.70004007,0
