LAcode,LAname,WhiteBritish,WhiteIrish,WhiteGypsyIrishTraveller,OtherWhite,WhiteBlackCaribbean,WhiteBlackAfrican,WhiteAsian,Indian,Pakistani,Bangladeshi,Chinese,BlackAfrican,BlackCaribbean,Arab,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,BornOutsideUK,BorninEU15,BorninEUAccession,BorninAmericasCaribbean,BorninAntarcticaOceania,NonEnglishMainLanguage,Arrived2007_11,NonBritishPassports
E07000026,Allerdale,97.6,.2,0,1.1,.1,0,.2,.1,0,.1,.1,0,0,0,75.4143245317459,.189790711663313,.0404472008462799,.0197050465661364,.199124681089378,.00933396942606459,2.67262657899649,.553815519279832,.546555765281782,.254091389931758,.12860135653689,1.06345419336892,.628487274688349,1.3
E07000027,Barrow-in-Furness,97.1,.3,.1,.9,.2,.1,.2,.2,.1,.1,.3,.1,0,.1,70.6789989433613,.217117547440184,.146192481943057,.0217117547440184,.248961454398078,.0101321522138753,2.91516493696354,.457394299940655,.453051948991851,.273568109774632,.127375627831575,1.19104548986789,.5500311201818,1.3
E07000028,Carlisle,95,.4,.2,2.5,.1,.1,.2,.3,.1,.2,.3,.1,0,0,69.0971318031323,.257616904133031,.224136006844983,.0158104237193557,.423161340723931,.0251106729660355,4.90216137792493,.988616494922064,1.47687958037275,.326438748558461,.125553364830177,2.67268944793312,1.37643688850861,3
E07000029,Copeland,97.3,.3,0,.9,.2,.1,.2,.2,.1,.1,.2,.1,0,0,78.8734189765307,.209622820560033,.114726003144342,.02407829695622,.321516082885996,.0113309632735153,2.86956644901775,.55238445958387,.400832825800603,.283274081837882,.143053411328131,1.10336563052596,.645864906590372,1.4
E07000030,Eden,97,.3,0,1.6,.1,0,.2,.1,0,.1,.2,0,0,0,70.7042843010425,.247317555741572,.0799025949318926,.0589757248306826,.218780914694468,.0114146564188418,3.41868959744312,.576440149151511,1.03302640590518,.249219998478046,.180732059964995,1.50931592015484,.821855262156609,1.9
E07000031,South Lakeland,95.6,.3,0,2.4,.2,.1,.2,.2,0,.1,.3,.1,.1,0,68.0516699145266,.448590557409944,.053059098188273,.100329931119643,.168824403326323,.00675297613305292,4.83223677863744,.866310366783075,1.25701827162399,.538308668891933,.233460032028401,2.17253597798761,1.42198383144572,2.8
E08000001,Bolton,79.4,.6,.1,1.8,.6,.2,.7,7.8,4.3,.2,.5,1.2,.2,.3,62.7228255764381,.207380431091168,2.16340421842145,.0628644512366955,11.7003750189677,.0426322140570694,11.2809173874401,.759431474135252,1.12577948306634,.313599676284205,.0964644165528603,8.48266091962685,2.20242353298216,4.6
E08000002,Bury,85.3,1.3,0,2.5,.7,.2,.5,.7,4.9,.2,.6,.6,.3,.3,62.7018264346698,.244785474981087,.441478439425051,5.56684318599373,6.09478007132822,.162649951367124,8.70798659894088,.860261536798876,1.24608235166973,.413379444504485,.118880363125473,4.85931344963422,1.49681184480709,4.2
E08000003,Manchester,59.3,2.4,.1,4.9,1.8,.9,1,2.3,8.5,1.3,2.7,5.1,1.9,1.9,48.7445515744534,.770978301701161,1.08362302162277,.519351972762344,15.8003843959875,.455550984145156,25.2542598588428,1.91343338759399,2.64644910728305,1.66121078773351,.194185563485959,16.6102950047635,8.362500919251,15.2
E08000004,Oldham,75.6,.7,0,1.3,.9,.2,.5,.7,10.1,7.3,.3,.7,.4,.1,59.657087466707,.164964405928047,.548250977113968,.0480219833968439,17.7321173692846,.0311253596090655,11.7836164999978,.630510856080784,.791918078053509,.345936139655042,.0640293111957918,10.5015316961152,1.91020778400779,4.1
E08000005,Rochdale,78.6,1,.1,1.9,.5,.3,.6,.5,10.5,2.1,.4,1,.1,.1,60.5510654278008,.190364621467272,.303260761741907,.102031658156156,13.8999239486252,.0335381839309586,11.1464862847722,.683517635888691,1.28200888998059,.23476728751671,.0803026939191966,8.3211297329014,1.8129514074228,4.4
E08000006,Salford,84.4,1.2,.1,4.4,.7,.5,.4,1.1,.8,.3,1.1,2.3,.3,.6,64.1683729956868,.444571736351861,.642919126416538,3.28598359359304,2.57766112519397,.138501194786541,11.7392586766296,1.2978074918887,2.48660941380652,.542890485737369,.150042961018753,7.1836257101004,4.10844130584398,7.8
E08000007,Stockport,89,1.4,0,1.7,.6,.3,.5,1,2.4,.2,.6,.3,.3,.3,63.208895949166,.301120818992145,.588121083752537,.473038566763746,3.3292736739917,.116494572411967,6.83470126202453,.784749801429706,.618127261495014,.425381696231577,.146853764010237,3.10419498682769,.915011914217633,3
E08000008,Tameside,88.5,.7,0,1.7,.6,.2,.4,1.7,2.2,2,.4,.5,.2,.1,63.9793182688625,.232988637814375,1.46951542010906,.040579234374715,4.42496033265853,.0465065382721453,6.96230234721234,.741824880086083,.970254053363973,.238004048804508,.0898214513687512,4.65382623117536,1.15491236709161,3.2
E08000009,Trafford,80.4,2.2,0,2.9,1.2,.3,.7,2.8,3.1,.2,1,.8,1.7,.6,63.3949456699238,.33895612107089,1.0023038423854,1.06497541685424,5.7348904130145,.729108739595195,11.2107088949501,1.05879652923055,1.33155028290478,1.08086398502944,.207875433625506,5.54124007294006,1.83777771893123,5.6
E08000010,Wigan,95.5,.5,0,1.3,.3,.1,.2,.3,.2,0,.3,.4,.1,.1,77.7800150385875,.221174205361665,.214567294532939,.0223376508971241,.680197200557497,.0195061176848126,3.52148347171141,.414033078600216,.838133830844206,.17146506674553,.101620580841846,1.88086647318744,.856696104124915,1.9
E07000117,Burnley,85.5,.6,0,1.2,.3,.1,.5,.4,6.8,2.8,.3,.1,.1,.1,63.6338574989375,.22054009349981,.201013106054515,.0160810484843612,9.85538542827278,.0379053285702799,7.73498432097773,.676552682663481,.666214865780677,.228580617741991,.11371598571084,5.8078267950376,1.11074099174123,2.8
E07000118,Chorley,95.1,.5,.1,1.2,.4,.1,.3,.6,.5,.1,.2,.1,.2,.1,75.3413279828286,.256637581074145,.1829126032383,.0419952405394055,1.05454715132285,.0167980962157622,3.66291820260371,.582334002146423,.668190938360319,.343427744855583,.12318603891559,1.63217946238639,.60473146376744,1.7
E07000119,Fylde,95.1,.6,0,1.7,.3,.1,.3,.4,.2,0,.3,.1,.1,.1,73.7133202212337,.258721966286944,.231001755613343,.425043230328551,.462003511226685,.0514803912509735,4.98303787108782,1.09164829652705,.894966801747693,.423723220296474,.227041725517114,1.73589416207112,.97680742373642,2.3
E07000120,Hyndburn,85.3,.5,.1,1.7,.2,0,.4,.3,9.3,.5,.3,.1,.1,.1,66.3933410954493,.200658954096168,.0867044863378502,.00867044863378502,10.3252656873188,.0470681497262615,7.17417692669755,.567295067753363,1.14697649069785,.194465776500607,.092897663933411,5.8779473670618,1.19776054698145,3
E07000121,Lancaster,91.5,.6,.2,3.3,.3,.1,.3,.9,.3,.2,.9,.3,.1,.1,65.852935862692,.390243902439024,.322312556458898,.0859981933152665,1.2769647696477,.0722673893405601,7.31418247515809,1.19602529358627,1.83992773261066,.483468834688347,.211020776874435,4.19596077202096,2.90442637759711,4.9
E07000122,Pendle,77.2,.5,0,2.1,.2,.1,.7,.3,17.1,.4,.3,.1,.1,.1,53.7081339712919,.250413629656128,.101730537047802,.0402450476233064,17.4160443589858,.0100612619058266,10.8516299244287,.753476724947458,1.57961811921477,.196753566158387,.0793721772570764,8.54172027415846,2.13410544202477,4
E07000123,Preston,75.8,.8,.1,3.5,1.2,.2,.7,10.3,3.2,.3,.9,.5,.6,.4,60.9962768006163,.274603785965963,2.38085048715425,.0427953952154748,11.2473431192137,.66332862583986,13.3607223862712,.890857477068801,2.48569920543216,.644783954579821,.111981284147159,10.1857702514849,3.51136217742971,6.7
E07000124,Ribble Valley,95.8,.6,0,1.4,.2,.1,.3,.4,.5,.1,.2,.1,0,0,78.1120912973465,.154029265560456,.173282923755514,.0175033256318701,.743891339354477,.0717636350906672,3.59343275222292,.743891339354477,.556605755093468,.259049219351677,.152278932997269,1.38228085351788,.798151648813274,1.8
E07000125,Rossendale,92,.8,.1,1,.3,.1,.3,.3,1.7,2.4,.3,.1,.1,.1,63.8286605277868,.239769350710482,.141213850725192,.0985554999852902,3.84366449942632,.0132387985054867,4.5865081933453,.619281574534436,.420699596952134,.219175664146392,.0897296343149657,2.56418102261253,.557500514842164,1.8
E07000126,South Ribble,95.3,.6,0,1.2,.5,.1,.4,.7,.2,0,.3,.1,.1,.1,75.6916108090265,.188892047278029,.509825137313515,.0440136809191524,.542835398002879,.0687713764361756,3.755834105101,.683129005932677,.690464619419203,.253995616970942,.118286767470222,1.41736173123326,.627194953097921,1.7
E07000127,West Lancashire,95.6,.5,0,2,.2,.1,.2,.4,.1,0,.2,.1,0,.1,76.1955097800063,.127388535031847,.206893436328319,.0560148168225143,.249356281338935,.0786014365090121,3.87405700862809,.719157970818087,1.24768487148213,.252066675701315,.113836563219948,1.9973505485484,1.16004878709852,2.4
E07000128,Wyre,96.8,.5,.1,.9,.2,.1,.2,.2,.1,.1,.3,.1,0,0,74.56774540831,.204178229032288,.149421340337265,.0640377172873994,.28306527206749,.0232020714809418,3.33738596181867,.664507327214174,.436198943841706,.245941957697983,.118794605982422,1.28214912615432,.856620479076372,1.6
E08000011,Knowsley,96.1,.5,0,.7,.5,.4,.3,.3,.1,0,.3,.2,.1,.1,80.8750248469769,.113096584483149,.182325402863743,.0397551630304401,.298163722728301,.0253610522780394,2.33458767727033,.341346054985503,.285825913511957,.188494307471914,.052778406092136,.936402930976779,.355054731892551,1.1
E08000012,Liverpool,84.8,1.4,0,2.6,.7,.7,.5,1.1,.4,.2,1.7,1.8,.3,1.2,71.0133679234158,.432447498472391,.522496060375417,.462463685773399,3.26082994757887,.113847110405969,9.88926170899306,.891695164177824,1.38245982654932,.516707224253079,.124567177299186,6.2971900745717,3.73508570693481,6.3
